trial_nb	singe	session	choice	condition
86	1	2	0	0
87	1	2	0	0
88	1	2	0	0
89	1	2	0	0
90	1	2	0	0
91	1	2	0	0
92	1	2	0	0
93	1	2	0	0
94	1	2	0	0
95	1	2	0	0
96	1	2	0	0
97	1	2	0	0
98	1	2	0	0
99	1	2	0	0
100	1	2	0	0
1	1	3	25	0
2	1	3	24	0
3	1	3	23	0
4	1	3	18	0
5	1	3	1700	0
6	1	3	22	0
7	1	3	21	0
8	1	3	16	0
9	1	3	20	0
10	1	3	19	0
11	1	3	14	0
12	1	3	13	0
13	1	3	17	0
14	1	3	12	0
15	1	3	11	0
16	1	3	6	0
17	1	3	15	0
18	1	3	10	0
19	1	3	9	0
20	1	3	4	0
21	1	3	5	0
22	1	3	8	0
23	1	3	7	0
24	1	3	2	0
25	1	3	3	0
26	1	3	1	0
27	1	3	0	0
28	1	3	0	0
29	1	3	0	0
30	1	3	0	0
31	1	3	0	0
32	1	3	0	0
33	1	3	0	0
34	1	3	0	0
35	1	3	0	0
36	1	3	0	0
37	1	3	0	0
38	1	3	0	0
39	1	3	0	0
40	1	3	0	0
41	1	3	0	0
42	1	3	0	0
43	1	3	0	0
44	1	3	0	0
45	1	3	0	0
46	1	3	0	0
47	1	3	0	0
48	1	3	0	0
49	1	3	0	0
50	1	3	0	0
51	1	3	0	0
52	1	3	0	0
53	1	3	0	0
54	1	3	0	0
55	1	3	0	0
56	1	3	0	0
57	1	3	0	0
58	1	3	0	0
59	1	3	0	0
60	1	3	0	0
61	1	3	0	0
62	1	3	0	0
63	1	3	0	0
64	1	3	0	0
65	1	3	0	0
66	1	3	0	0
67	1	3	0	0
68	1	3	0	0
69	1	3	0	0
70	1	3	0	0
71	1	3	0	0
72	1	3	0	0
73	1	3	0	0
74	1	3	0	0
75	1	3	0	0
76	1	3	0	0
77	1	3	0	0
78	1	3	0	0
79	1	3	0	0
80	1	3	0	0
81	1	3	0	0
82	1	3	0	0
83	1	3	0	0
84	1	3	0	0
85	1	3	0	0
86	1	3	0	0
87	1	3	0	0
88	1	3	0	0
89	1	3	0	0
90	1	3	0	0
91	1	3	0	0
92	1	3	0	0
93	1	3	0	0
94	1	3	0	0
95	1	3	0	0
96	1	3	0	0
97	1	3	0	0
98	1	3	0	0
99	1	3	0	0
100	1	3	0	0
1	1	5.1	1300	1
2	1	5.1	18	1
3	1	5.1	-18	1
4	1	5.1	21	1
5	1	5.1	22	1
6	1	5.1	-22	1
7	1	5.1	-22	1
8	1	5.1	16	1
9	1	5.1	12	1
10	1	5.1	13	1
11	1	5.1	7	1
12	1	5.1	1	1
13	1	5.1	17	1
14	1	5.1	25	1
15	1	5.1	24	1
16	1	5.1	25	1
17	1	5.1	-25	1
18	1	5.1	-24	1
19	1	5.1	19	1
20	1	5.1	0	1
21	1	5.1	0	1
22	1	5.1	0	1
23	1	5.1	0	1
24	1	5.1	0	1
25	1	5.1	0	1
26	1	5.1	0	1
27	1	5.1	0	1
28	1	5.1	0	1
29	1	5.1	0	1
30	1	5.1	0	1
31	1	5.1	0	1
32	1	5.1	0	1
33	1	5.1	0	1
34	1	5.1	0	1
35	1	5.1	0	1
36	1	5.1	0	1
37	1	5.1	0	1
38	1	5.1	0	1
39	1	5.1	0	1
40	1	5.1	0	1
41	1	5.1	0	1
42	1	5.1	0	1
43	1	5.1	0	1
44	1	5.1	0	1
45	1	5.1	0	1
46	1	5.1	0	1
47	1	5.1	0	1
48	1	5.1	0	1
49	1	5.1	0	1
50	1	5.1	0	1
51	1	5.1	0	1
52	1	5.1	0	1
53	1	5.1	0	1
54	1	5.1	0	1
55	1	5.1	0	1
56	1	5.1	0	1
57	1	5.1	0	1
58	1	5.1	0	1
59	1	5.1	0	1
60	1	5.1	0	1
61	1	5.1	0	1
62	1	5.1	0	1
63	1	5.1	0	1
64	1	5.1	0	1
65	1	5.1	0	1
66	1	5.1	0	1
67	1	5.1	0	1
68	1	5.1	0	1
69	1	5.1	0	1
70	1	5.1	0	1
71	1	5.1	0	1
72	1	5.1	0	1
73	1	5.1	0	1
74	1	5.1	0	1
75	1	5.1	0	1
76	1	5.1	0	1
77	1	5.1	0	1
78	1	5.1	0	1
79	1	5.1	0	1
80	1	5.1	0	1
81	1	5.1	0	1
82	1	5.1	0	1
83	1	5.1	0	1
84	1	5.1	0	1
85	1	5.1	0	1
86	1	5.1	0	1
87	1	5.1	0	1
88	1	5.1	0	1
89	1	5.1	0	1
90	1	5.1	0	1
91	1	5.1	0	1
92	1	5.1	0	1
93	1	5.1	0	1
94	1	5.1	0	1
95	1	5.1	0	1
96	1	5.1	0	1
97	1	5.1	0	1
98	1	5.1	0	1
99	1	5.1	0	1
100	1	5.1	0	1
1	1	5.2	24	1
2	1	5.2	-24	1
3	1	5.2	19	1
4	1	5.2	22	1
5	1	5.2	21	1
6	1	5.2	16	1
7	1	5.2	-21	1
8	1	5.2	20	1
9	1	5.2	15	1
10	1	5.2	18	1
11	1	5.2	23	1
12	1	5.2	-16	1
13	1	5.2	11	1
14	1	5.2	200	1
15	1	5.2	900	1
16	1	5.2	14	1
17	1	5.2	9	1
18	1	5.2	3	1
19	1	5.2	-23	1
20	1	5.2	0	1
21	1	5.2	0	1
22	1	5.2	0	1
23	1	5.2	0	1
24	1	5.2	0	1
25	1	5.2	0	1
26	1	5.2	0	1
27	1	5.2	0	1
28	1	5.2	0	1
29	1	5.2	0	1
30	1	5.2	0	1
31	1	5.2	0	1
